survey_year,n_respondents,n_countries,dedicated_group_yes_pct,transition_plan_yes_pct,bus_factor_median,bus_single_point_risk_pct,n_group_non_null,n_transition_non_null,n_bus_non_null
2016,273,1,60.07326007326007,21.611721611721613,2.0,45.75645756457565,273,273,271
2017,911,6,50.62166962699822,20.72678331090175,1.0,53.111432706222864,563,743,691
2018,956,32,50.11574074074075,18.192352259559673,1.0,56.705882352941174,864,863,850
2022,940,41,52.95566502463054,17.160493827160494,1.0,56.65829145728644,812,810,796
