survey_year,group_label,n_respondents,transition_plan_yes_pct,bus_single_point_risk_pct,bus_factor_median
2016,Dedicated group: No,109,11.009174311926607,50.45871559633027,1.0
2016,Dedicated group: Yes,164,28.65853658536585,42.592592592592595,2.0
2017,Dedicated group: No,278,18.45018450184502,64.03162055335969,1.0
2017,Dedicated group: Yes,285,22.66187050359712,43.67816091954023,2.0
2018,Dedicated group: No,431,14.849187935034802,63.0071599045346,1.0
2018,Dedicated group: Yes,433,21.52777777777778,50.580046403712295,1.0
2022,Dedicated group: No,382,13.94736842105263,62.03208556149733,1.0
2022,Dedicated group: Yes,430,20.0,51.8957345971564,1.0
